"country";"truckClass";"truckTechnology";"vehicleParameterScenario";"period";"paperScen";"parameter";"unit";"value"
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Current policies";"Power electronics costs";"EUR/veh";6045,2
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Current policies";"Battery";"EUR/veh";76200
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Removed policies";"Glider/Vehicle body invest without drivetrain";"EUR/veh";97750
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Removed policies";"Electric motor costs";"EUR/veh";6400,8
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Removed policies";"Power electronics costs";"EUR/veh";6045,2
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Removed policies";"Battery";"EUR/veh";76200
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Current Policies | Removed CO2 price";"Glider/Vehicle body invest without drivetrain";"EUR/veh";97750
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Current Policies | Removed CO2 price";"Electric motor costs";"EUR/veh";6400,8
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Current Policies | Removed CO2 price";"Power electronics costs";"EUR/veh";6045,2
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Current Policies | Removed CO2 price";"Battery";"EUR/veh";76200
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Current Policies | Urban depot-only charging";"Glider/Vehicle body invest without drivetrain";"EUR/veh";97750
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Current Policies | Urban depot-only charging";"Electric motor costs";"EUR/veh";6400,8
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Current Policies | Urban depot-only charging";"Power electronics costs";"EUR/veh";6045,2
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Current Policies | Urban depot-only charging";"Battery";"EUR/veh";76200
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Current policies | Removed diesel efficiency gains";"Glider/Vehicle body invest without drivetrain";"EUR/veh";97750
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Current policies | Removed diesel efficiency gains";"Electric motor costs";"EUR/veh";6400,8
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Current policies | Removed diesel efficiency gains";"Power electronics costs";"EUR/veh";6045,2
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Current policies | Removed diesel efficiency gains";"Battery";"EUR/veh";76200
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Removed policies except for H2 tax reduction";"Glider/Vehicle body invest without drivetrain";"EUR/veh";97750
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Removed policies except for H2 tax reduction";"Electric motor costs";"EUR/veh";6400,8
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Removed policies except for H2 tax reduction";"Power electronics costs";"EUR/veh";6045,2
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Removed policies except for H2 tax reduction";"Battery";"EUR/veh";76200
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Glider/Vehicle body invest without drivetrain";"EUR/veh";97750
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Electric motor costs";"EUR/veh";6400,8
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Power electronics costs";"EUR/veh";6045,2
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Battery";"EUR/veh";76200
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Glider/Vehicle body invest without drivetrain";"EUR/veh";97750
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Electric motor costs";"EUR/veh";6400,8
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Power electronics costs";"EUR/veh";6045,2
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Battery";"EUR/veh";76200
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Current policies";"Glider/Vehicle body invest without drivetrain";"EUR/veh";99500
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Current policies";"Electric motor costs";"EUR/veh";6045,2
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Current policies";"Power electronics costs";"EUR/veh";5689,6
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Current policies";"Battery";"EUR/veh";65024
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Removed policies";"Glider/Vehicle body invest without drivetrain";"EUR/veh";99500
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Removed policies";"Electric motor costs";"EUR/veh";6045,2
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Removed policies";"Power electronics costs";"EUR/veh";5689,6
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Removed policies";"Battery";"EUR/veh";65024
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Current Policies | Removed CO2 price";"Glider/Vehicle body invest without drivetrain";"EUR/veh";99500
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Current Policies | Removed CO2 price";"Electric motor costs";"EUR/veh";6045,2
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Current Policies | Removed CO2 price";"Power electronics costs";"EUR/veh";5689,6
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Current Policies | Removed CO2 price";"Battery";"EUR/veh";65024
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Current Policies | Urban depot-only charging";"Glider/Vehicle body invest without drivetrain";"EUR/veh";99500
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Current Policies | Urban depot-only charging";"Electric motor costs";"EUR/veh";6045,2
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Current Policies | Urban depot-only charging";"Power electronics costs";"EUR/veh";5689,6
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Current Policies | Urban depot-only charging";"Battery";"EUR/veh";65024
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Current policies | Removed diesel efficiency gains";"Glider/Vehicle body invest without drivetrain";"EUR/veh";99500
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Current policies | Removed diesel efficiency gains";"Electric motor costs";"EUR/veh";6045,2
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Current policies | Removed diesel efficiency gains";"Power electronics costs";"EUR/veh";5689,6
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Current policies | Removed diesel efficiency gains";"Battery";"EUR/veh";65024
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Removed policies except for H2 tax reduction";"Glider/Vehicle body invest without drivetrain";"EUR/veh";99500
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Removed policies except for H2 tax reduction";"Electric motor costs";"EUR/veh";6045,2
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Removed policies except for H2 tax reduction";"Power electronics costs";"EUR/veh";5689,6
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Removed policies except for H2 tax reduction";"Battery";"EUR/veh";65024
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Glider/Vehicle body invest without drivetrain";"EUR/veh";99500
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Electric motor costs";"EUR/veh";6045,2
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Power electronics costs";"EUR/veh";5689,6
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Battery";"EUR/veh";65024
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Glider/Vehicle body invest without drivetrain";"EUR/veh";99500
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Electric motor costs";"EUR/veh";6045,2
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Power electronics costs";"EUR/veh";5689,6
"DE";"Rigid";"BET large battery";"LC_HTM";2040;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Battery";"EUR/veh";65024
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Current policies";"Glider/Vehicle body invest without drivetrain";"EUR/veh";101250
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Current policies";"Electric motor costs";"EUR/veh";5689,6
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Current policies";"Power electronics costs";"EUR/veh";5334
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Current policies";"Battery";"EUR/veh";62585,6
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Removed policies";"Glider/Vehicle body invest without drivetrain";"EUR/veh";101250
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Removed policies";"Electric motor costs";"EUR/veh";5689,6
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Removed policies";"Power electronics costs";"EUR/veh";5334
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Removed policies";"Battery";"EUR/veh";62585,6
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Current Policies | Removed CO2 price";"Glider/Vehicle body invest without drivetrain";"EUR/veh";101250
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Current Policies | Removed CO2 price";"Electric motor costs";"EUR/veh";5689,6
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Current Policies | Removed CO2 price";"Power electronics costs";"EUR/veh";5334
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Current Policies | Removed CO2 price";"Battery";"EUR/veh";62585,6
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Current Policies | Urban depot-only charging";"Glider/Vehicle body invest without drivetrain";"EUR/veh";101250
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Current Policies | Urban depot-only charging";"Electric motor costs";"EUR/veh";5689,6
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Current Policies | Urban depot-only charging";"Power electronics costs";"EUR/veh";5334
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Current Policies | Urban depot-only charging";"Battery";"EUR/veh";62585,6
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Current policies | Removed diesel efficiency gains";"Glider/Vehicle body invest without drivetrain";"EUR/veh";101250
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Current policies | Removed diesel efficiency gains";"Electric motor costs";"EUR/veh";5689,6
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Current policies | Removed diesel efficiency gains";"Power electronics costs";"EUR/veh";5334
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Current policies | Removed diesel efficiency gains";"Battery";"EUR/veh";62585,6
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Removed policies except for H2 tax reduction";"Glider/Vehicle body invest without drivetrain";"EUR/veh";101250
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Removed policies except for H2 tax reduction";"Electric motor costs";"EUR/veh";5689,6
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Removed policies except for H2 tax reduction";"Power electronics costs";"EUR/veh";5334
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Removed policies except for H2 tax reduction";"Battery";"EUR/veh";62585,6
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Glider/Vehicle body invest without drivetrain";"EUR/veh";101250
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Electric motor costs";"EUR/veh";5689,6
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Power electronics costs";"EUR/veh";5334
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Battery";"EUR/veh";62585,6
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Glider/Vehicle body invest without drivetrain";"EUR/veh";101250
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Electric motor costs";"EUR/veh";5689,6
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Power electronics costs";"EUR/veh";5334
"DE";"Rigid";"BET large battery";"LC_HTM";2045;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Battery";"EUR/veh";62585,6
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Current policies";"Glider/Vehicle body invest without drivetrain";"EUR/veh";103000
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Current policies";"Electric motor costs";"EUR/veh";5334
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Current policies";"Power electronics costs";"EUR/veh";5334
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Current policies";"Battery";"EUR/veh";58115,2
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Removed policies";"Glider/Vehicle body invest without drivetrain";"EUR/veh";103000
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Removed policies";"Electric motor costs";"EUR/veh";5334
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Removed policies";"Power electronics costs";"EUR/veh";5334
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Removed policies";"Battery";"EUR/veh";58115,2
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Sensitivity | Current Policies | Removed CO2 price";"Glider/Vehicle body invest without drivetrain";"EUR/veh";103000
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Sensitivity | Current Policies | Removed CO2 price";"Electric motor costs";"EUR/veh";5334
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Sensitivity | Current Policies | Removed CO2 price";"Power electronics costs";"EUR/veh";5334
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Sensitivity | Current Policies | Removed CO2 price";"Battery";"EUR/veh";58115,2
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Sensitivity | Current Policies | Urban depot-only charging";"Glider/Vehicle body invest without drivetrain";"EUR/veh";103000
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Sensitivity | Current Policies | Urban depot-only charging";"Electric motor costs";"EUR/veh";5334
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Sensitivity | Current Policies | Urban depot-only charging";"Power electronics costs";"EUR/veh";5334
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Sensitivity | Current Policies | Urban depot-only charging";"Battery";"EUR/veh";58115,2
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Sensitivity | Current policies | Removed diesel efficiency gains";"Glider/Vehicle body invest without drivetrain";"EUR/veh";103000
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Sensitivity | Current policies | Removed diesel efficiency gains";"Electric motor costs";"EUR/veh";5334
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Sensitivity | Current policies | Removed diesel efficiency gains";"Power electronics costs";"EUR/veh";5334
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Sensitivity | Current policies | Removed diesel efficiency gains";"Battery";"EUR/veh";58115,2
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Sensitivity | Removed policies except for H2 tax reduction";"Glider/Vehicle body invest without drivetrain";"EUR/veh";103000
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Sensitivity | Removed policies except for H2 tax reduction";"Electric motor costs";"EUR/veh";5334
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Sensitivity | Removed policies except for H2 tax reduction";"Power electronics costs";"EUR/veh";5334
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Sensitivity | Removed policies except for H2 tax reduction";"Battery";"EUR/veh";58115,2
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Glider/Vehicle body invest without drivetrain";"EUR/veh";103000
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Electric motor costs";"EUR/veh";5334
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Power electronics costs";"EUR/veh";5334
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Battery";"EUR/veh";58115,2
"DE";"Rigid";"BET large battery";"LC_HTM";2050;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Glider/Vehicle body invest without drivetrain";"EUR/veh";103000
