"period";"country";"energyCarrierParameterScenario";"paperScen";"unit";"parameter";"value";"energyCarrier"
2030;"FR";"BAU";"Sensitivity | Current Policies | Vehicle insurance";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"FR";"BAU";"Sensitivity | Current policies | Removed diesel efficiency gains";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"FR";"BAU";"Sensitivity | Removed policies except for H2 tax reduction";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"FR";"BAU";"Sensitivity | Removed policies except for bio/syn fuel mandates";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"FR";"BAU";"Sensitivity | Removed policies | Removed diesel efficiency gains";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"FR";"PROG";"Current policies";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"FR";"PROG";"Removed policies";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"FR";"PROG";"Sensitivity | Current Policies | Removed CO2 price";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"FR";"PROG";"Sensitivity | Current Policies | Urban depot-only charging";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"FR";"PROG";"Sensitivity | Current policies | Removed diesel efficiency gains";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"FR";"PROG";"Sensitivity | Removed policies except for H2 tax reduction";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"FR";"PROG";"Sensitivity | Removed policies except for bio/syn fuel mandates";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"FR";"PROG";"Sensitivity | Removed policies | Removed diesel efficiency gains";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"IT";"BAU";"Current policies";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"IT";"BAU";"Removed policies";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"IT";"BAU";"Sensitivity | Current Policies | Interest rate";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"IT";"BAU";"Sensitivity | Current Policies | Removed CO2 price";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"IT";"BAU";"Sensitivity | Current Policies | Resale value";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"IT";"BAU";"Sensitivity | Current Policies | Urban depot-only charging";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"IT";"BAU";"Sensitivity | Current Policies | Vehicle insurance";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
